Player,Squad,League,Age,Min,Similarity,Quality,Succession_Score,Replacement_For,Recruitment_Verdict,Evidence_Confidence,Evidence_Band,Development_Profile,Development_Score,Evidence_Risk,Recruitment_Risk,Decision_Score,Risk_Penalty,Risk_Adjusted_Score,Decision_Tier,Succession_Coverage,Can_Replace,Strategic_Value,Recommendation_Rationale
Darío Osorio,Midtjylland,Danish Superliga,21.0,1922,58.6,80.1,67.2,Bruno Guimaraes,STRONG OPTION,64.06666666666668,GOOD,DEVELOPMENT,90,10,MEDIUM,71.1,3,68.1,STRONG SHORTLIST,1,Bruno Guimaraes,SINGLE ROLE,strong succession fit; good evidence base; development runway; moderate decision uncertainty
Nilson Angulo,Anderlecht,Belgian Pro League,22.0,1894,58.0,75.3,64.9,Bruno Guimaraes,SCOUT FURTHER,63.13333333333333,GOOD,DEVELOPMENT,80,10,MEDIUM,67.6,3,64.6,SCOUT / VALIDATE,1,Bruno Guimaraes,SINGLE ROLE,credible succession fit; good evidence base; development runway; moderate decision uncertainty
Rihito Yamamoto,Sint-Truiden,Belgian Pro League,23.0,3281,59.0,71.3,63.9,Bruno Guimaraes,SCOUT FURTHER,100.0,HIGH,PRIME ENTRY,70,0,LOW,72.3,0,72.3,PRIORITY TARGET,1,Bruno Guimaraes,SINGLE ROLE,credible succession fit; high evidence confidence; entering prime years; low decision uncertainty
Thomas Jørgensen,Viborg,Danish Superliga,19.0,2579,49.1,83.1,62.7,Bruno Guimaraes,SCOUT FURTHER,85.96666666666667,HIGH,HIGH UPSIDE,100,0,LOW,74.8,0,74.8,PRIORITY TARGET,1,Bruno Guimaraes,SINGLE ROLE,credible succession fit; high evidence confidence; high development upside; low decision uncertainty
Pablo Gozalbez,Arouca,Portuguese Primeira Liga,24.0,1067,63.2,60.3,62.1,Bruno Guimaraes,SCOUT FURTHER,35.56666666666667,LIMITED,PRIME ENTRY,60,30,HIGH,56.4,7,49.4,WATCHLIST,1,Bruno Guimaraes,SINGLE ROLE,credible succession fit; limited evidence; entering prime years; high decision uncertainty
Richard Ríos,Benfica,Portuguese Primeira Liga,25.0,2276,61.7,61.9,61.8,Bruno Guimaraes,SCOUT FURTHER,75.86666666666667,GOOD,PRIME,50,10,MEDIUM,62.3,3,59.3,WATCHLIST,1,Bruno Guimaraes,SINGLE ROLE,moderate succession fit; good evidence base; prime-age profile; moderate decision uncertainty
Walid Ould-Chikh,Heracles Almelo,Eredivisie,25.0,1490,55.8,68.8,61.0,Bruno Guimaraes,SCOUT FURTHER,49.666666666666664,MODERATE,PRIME,50,20,HIGH,56.5,7,49.5,WATCHLIST,1,Bruno Guimaraes,SINGLE ROLE,moderate succession fit; further evidence required; prime-age profile; high decision uncertainty
Abubakr Barry,Austria Wien,Austrian Bundesliga,25.0,2413,58.2,63.5,60.3,Bruno Guimaraes,SCOUT FURTHER,80.43333333333334,HIGH,PRIME,50,0,LOW,62.3,0,62.3,SCOUT / VALIDATE,1,Bruno Guimaraes,SINGLE ROLE,moderate succession fit; high evidence confidence; prime-age profile; low decision uncertainty
Stije Resink,Groningen,Eredivisie,22.0,2088,47.2,77.3,59.2,Bruno Guimaraes,SCOUT FURTHER,69.6,GOOD,DEVELOPMENT,80,10,MEDIUM,65.4,3,62.4,SCOUT / VALIDATE,1,Bruno Guimaraes,SINGLE ROLE,moderate succession fit; good evidence base; development runway; moderate decision uncertainty
Patrick Wimmer,Wolfsburg,German Bundesliga,24.0,1621,51.1,69.3,58.4,Bruno Guimaraes,SCOUT FURTHER,54.03333333333333,MODERATE,PRIME ENTRY,60,20,HIGH,57.8,7,50.8,WATCHLIST,2,Bruno Guimaraes | Sandro Tonali,VERSATILE,moderate succession fit; further evidence required; entering prime years; high decision uncertainty; multi-successor versatility
Mario Dorgelès,Braga,Portuguese Primeira Liga,20.0,996,75.6,47.5,64.4,Sandro Tonali,SCOUT FURTHER,33.2,LIMITED,HIGH UPSIDE,100,30,HIGH,65.3,7,58.3,WATCHLIST,1,Sandro Tonali,SINGLE ROLE,credible succession fit; limited evidence; high development upside; high decision uncertainty
Victor Froholdt,Porto,Portuguese Primeira Liga,19.0,2872,62.1,60.4,61.4,Sandro Tonali,SCOUT FURTHER,95.73333333333333,HIGH,HIGH UPSIDE,100,0,LOW,76.0,0,76.0,PRIORITY TARGET,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; high development upside; low decision uncertainty
Irakli Yegoian,Excelsior,Eredivisie,21.0,2672,65.6,54.7,61.3,Sandro Tonali,SCOUT FURTHER,89.06666666666668,HIGH,DEVELOPMENT,90,0,LOW,72.6,0,72.6,PRIORITY TARGET,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; development runway; low decision uncertainty
